brand,name,temp,category,is_coffee,price
백억커피,백억카노(1L),,시그니처,False,
백억커피,백억 리치 라떼,,시그니처,False,
백억커피,백억 슈퍼 드링크,,시그니처,False,
백억커피,백억커피,,시그니처,False,
백억커피,아메리카노,,커피,True,
백억커피,꿀 아메리카노,,커피,True,
백억커피,바닐라 아메리카노,,커피,True,
백억커피,헤이즐넛 아메리카노,,커피,True,
백억커피,카페라떼,,커피,True,
백억커피,꿀 카페라떼,,커피,True,
백억커피,카라멜마끼아또,,커피,True,
백억커피,연유라떼,,커피,True,
백억커피,카페모카,,커피,True,
백억커피,바닐라라떼,,커피,True,
백억커피,저당 바닐라라떼,,커피,True,
백억커피,콜드브루,,콜드브루,True,
백억커피,콜드브루 라떼,,콜드브루,True,
백억커피,콜드브루 연유라떼,,콜드브루,True,
백억커피,미숫가루 라떼,,라떼,False,
백억커피,고구마 라떼,,라떼,False,
백억커피,토피넛 라떼,,라떼,False,
백억커피,초코 라떼,,라떼,False,
백억커피,민트 초코 라떼,,라떼,False,
백억커피,말차 라떼,,라떼,False,
백억커피,말차 리치 라떼,,라떼,False,
백억커피,말차 리치 샷 라떼,,라떼,False,
백억커피,보성 홍차 밀크티,,라떼,False,
백억커피,메론 라떼,,라떼,False,
백억커피,딥 초코 바나나 라떼,,라떼,False,
백억커피,찐 딸기 우유,,찐우유,False,
백억커피,찐 망고 우유,,찐우유,False,
백억커피,찐 블루베리 우유,,찐우유,False,
백억커피,찐 체리 우유,,찐우유,False,
백억커피,찐 바나나 딸기 우유,,찐우유,False,
백억커피,흑당 버블티,,버블티,False,
백억커피,꿀 말차 버블티,,버블티,False,
백억커피,딸기 홍차 버블티,,버블티,False,
백억커피,플레인 요거트 스무디,,요거트스무디,False,
백억커피,딸기 요거트 스무디,,요거트스무디,False,
백억커피,망고 요거트 스무디,,요거트스무디,False,
백억커피,블루베리 요거트 스무디,,요거트스무디,False,
백억커피,백억커피 스무디,,스무디,False,
백억커피,초코 스무디,,스무디,False,
백억커피,민트 초코 스무디,,스무디,False,
백억커피,미숫가루 스무디,,스무디,False,
백억커피,말차 스무디,,스무디,False,
백억커피,배 스무디,,스무디,False,
백억커피,딸기 망고 스무디,,스무디,False,
백억커피,자두 스무디,,스무디,False,
백억커피,메론 코코 스무디,,스무디,False,
백억커피,레몬 에이드,,에이드,False,
백억커피,자몽 에이드,,에이드,False,
백억커피,자두 에이드,,에이드,False,
백억커피,체리 에이드,,에이드,False,
백억커피,청포도 에이드,,에이드,False,
백억커피,더블베리 에이드,,에이드,False,
백억커피,레몬콕,,에이드,False,
백억커피,체리콕,,에이드,False,
백억커피,딸기 주스,,주스,False,
백억커피,망고 주스,,주스,False,
백억커피,수박 주스(착즙),,주스,False,
백억커피,파인 사과 주스(착즙),,주스,False,
백억커피,복숭아 아이스티,,티,False,
백억커피,레몬차,,티,False,
백억커피,자몽차,,티,False,
백억커피,오미자차,,티,False,
백억커피,매실차,,티,False,
백억커피,유자차,,티,False,
백억커피,얼그레이,,티,False,
백억커피,페퍼민트,,티,False,
백억커피,캐모마일,,티,False,
백억커피,전통 식혜,,티,False,
백억커피,자몽 허니 블랙티,,티,False,
백억커피,아샷추,,티,False,
백억커피,아망추,,티,False,
