brand,name,temp,category,is_coffee
바나프레소,아메리카노,HOT/ICE,커피,True
바나프레소,시그니처아메리카노,HOT/ICE,커피,True
바나프레소,바나리카노,ICE,커피,True
바나프레소,카페라떼,HOT/ICE,커피,True
바나프레소,크리미라떼,HOT/ICE,커피,True
바나프레소,바닐라라떼,HOT/ICE,커피,True
바나프레소,카푸치노,HOT,커피,True
바나프레소,클래식밀크커피,HOT/ICE,커피,True
바나프레소,허니카페라떼,HOT/ICE,커피,True
바나프레소,스위티소금라떼,HOT/ICE,커피,True
바나프레소,연유라떼,HOT/ICE,커피,True
바나프레소,카페모카,HOT/ICE,커피,True
바나프레소,밀크카라멜마키아또,HOT/ICE,커피,True
바나프레소,화이트아메리카노,HOT/ICE,커피,True
바나프레소,헛개리카노,HOT/ICE,커피,True
바나프레소,허니아메리카노,HOT/ICE,커피,True
바나프레소,핑크아메리카노,HOT/ICE,커피,True
바나프레소,유자셔벗아메리카노,ICE,커피,True
바나프레소,핑크카페라떼,HOT/ICE,커피,True
바나프레소,피스타치오카페라떼,HOT/ICE,커피,True
바나프레소,시나몬라떼,HOT/ICE,커피,True
바나프레소,헛개크리미라떼,ICE,커피,True
바나프레소,에스프레소,HOT,커피,True
바나프레소,토피넛호핑슈페너,ICE,커피,True
바나프레소,아샷추,ICE,커피,True
바나프레소,콜드브루,ICE,커피,True
바나프레소,콜드브루 라떼,ICE,커피,True
바나프레소,바닐라 콜드브루,ICE,커피,True
바나프레소,제주말차 콜드브루,ICE,커피,True
바나프레소,돌체 콜드브루,ICE,커피,True
바나프레소,저당 바닐라라떼,HOT/ICE,저당&제로슈가,True
바나프레소,제로슈가 스위트아메리카노,HOT/ICE,저당&제로슈가,True
바나프레소,저당 크리미라떼,HOT/ICE,저당&제로슈가,True
바나프레소,제로슈가 아샷추,ICE,저당&제로슈가,True
바나프레소,저당 바닐라 콜드브루,ICE,저당&제로슈가,True
바나프레소,디카페인 저당 바닐라라떼,HOT/ICE,저당&제로슈가,True
바나프레소,디카페인 제로슈가 스위트아메리카노,HOT/ICE,저당&제로슈가,True
바나프레소,디카페인 저당 크리미라떼,HOT/ICE,저당&제로슈가,True
바나프레소,디카페인 제로슈가 아샷추,ICE,저당&제로슈가,True
바나프레소,저당 얼그레이밀크티,HOT/ICE,저당&제로슈가,True
바나프레소,저당 얼그레이버블티,ICE,저당&제로슈가,True
바나프레소,제로슈가 레몬아이스티,ICE,저당&제로슈가,True
바나프레소,제로슈가 복숭아아이스티,ICE,저당&제로슈가,True
바나프레소,디카페인 아메리카노,HOT/ICE,디카페인커피,True
바나프레소,디카페인 바나리카노,ICE,디카페인커피,True
바나프레소,디카페인 카페라떼,HOT/ICE,디카페인커피,True
바나프레소,디카페인 크리미라떼,HOT/ICE,디카페인커피,True
바나프레소,디카페인 바닐라라떼,HOT/ICE,디카페인커피,True
바나프레소,디카페인 카푸치노,HOT,디카페인커피,True
바나프레소,디카페인 토피넛호핑슈페너,ICE,디카페인커피,True
바나프레소,디카페인 허니카페라떼,HOT/ICE,디카페인커피,True
바나프레소,디카페인 스위티소금라떼,HOT/ICE,디카페인커피,True
바나프레소,디카페인 연유라떼,HOT/ICE,디카페인커피,True
바나프레소,디카페인 카페모카,HOT/ICE,디카페인커피,True
바나프레소,디카페인 밀크카라멜마키아또,HOT/ICE,디카페인커피,True
바나프레소,디카페인 화이트아메리카노,HOT/ICE,디카페인커피,True
바나프레소,디카페인 헛개리카노,HOT/ICE,디카페인커피,True
바나프레소,디카페인 허니아메리카노,HOT/ICE,디카페인커피,True
바나프레소,디카페인 핑크아메리카노,HOT/ICE,디카페인커피,True
바나프레소,디카페인 유자셔벗아메리카노,ICE,디카페인커피,True
바나프레소,디카페인 핑크카페라떼,HOT/ICE,디카페인커피,True
바나프레소,디카페인 피스타치오카페라떼,HOT/ICE,디카페인커피,True
바나프레소,디카페인 시나몬라떼,HOT/ICE,디카페인커피,True
바나프레소,디카페인 헛개크리미라떼,ICE,디카페인커피,True
바나프레소,디카페인 에스프레소,HOT,디카페인커피,True
바나프레소,디카페인 아샷추,ICE,디카페인커피,True
바나프레소,빅바나 카페라떼,ICE,빅바나,True
바나프레소,빅바나 크리미라떼,ICE,빅바나,True
바나프레소,빅바나 바닐라라떼,ICE,빅바나,True
