brand,name,temp,category,is_coffee,price
카페베네,카라멜 땅콩 크림 라떼,HOT,커피,True,
카페베네,카라멜 땅콩 크림 라떼,ICE,커피,True,
카페베네,아메리카노,HOT,커피,True,
카페베네,아메리카노,ICE,커피,True,
카페베네,카페 라떼,HOT,커피,True,
카페베네,카페 라떼,ICE,커피,True,
카페베네,카푸치노(HOT ONLY),,커피,True,
카페베네,바닐라빈 라떼,HOT,커피,True,
카페베네,바닐라빈 라떼,ICE,커피,True,
카페베네,콜드브루 바닐라빈 라떼,,커피,True,
카페베네,디카페인 콜드브루,,커피,True,
카페베네,디카페인 콜드브루 라떼,,커피,True,
카페베네,헤이즐넛 라떼,HOT,커피,True,
카페베네,헤이즐넛 라떼,ICE,커피,True,
카페베네,스페니쉬 연유 라떼,HOT,커피,True,
카페베네,스페니쉬 연유 라떼,ICE,커피,True,
카페베네,콜드브루,,커피,True,
카페베네,콜드브루 라떼,,커피,True,
카페베네,카페 모카,HOT,커피,True,
카페베네,카페 모카,ICE,커피,True,
카페베네,카라멜 마끼아또,HOT,커피,True,
카페베네,카라멜 마끼아또,ICE,커피,True,
카페베네,베네 크림 라떼(ICED ONLY),,커피,True,
카페베네,베네 젤라또 라떼(ICED ONLY),,커피,True,
카페베네,에스프레소(HOT ONLY),,커피,True,
카페베네,딸기 초코칩 프라페노,,음료,False,
카페베네,그래요딸기,,음료,False,
카페베네,생딸기 라떼,,음료,False,
카페베네,생딸기 주스,,음료,False,
카페베네,문경오미자 뱅쇼,HOT,음료,False,
카페베네,애플 캐모마일 티,HOT,음료,False,
카페베네,애플 캐모마일 티,ICE,음료,False,
카페베네,딸기 쿠키앤크림 프라페노,,음료,False,
카페베네,티라미수 젤라또 프라페노,,음료,False,
카페베네,애플망고 주스,,음료,False,
카페베네,키위 주스,,음료,False,
카페베네,제주레몬 에이드,,음료,False,
카페베네,제주청귤 에이드,,음료,False,
카페베네,우리오곡 라떼,HOT,음료,False,
카페베네,우리오곡 라떼,ICE,음료,False,
카페베네,고흥유자 차(HOT/ICED),,음료,False,
카페베네,딸기 젤라또 프라페노,,음료,False,
카페베네,자몽 차(HOT/ICED),,음료,False,
카페베네,캐모마일 티(HOT/ICED),,음료,False,
카페베네,페퍼민트 티(HOT/ICED),,음료,False,
카페베네,얼그레이 티(HOT/ICED),,음료,False,
카페베네,초콜릿쿠키 젤라또 프라페노,,음료,False,
카페베네,히비스커스 블렌드 티(HOT/ICED),,음료,False,
카페베네,애플 시나몬 티,HOT,음료,False,
카페베네,애플 시나몬 티,ICE,음료,False,
카페베네,자몽 얼그레이 티,HOT,음료,False,
카페베네,자몽 얼그레이 티,ICE,음료,False,
카페베네,고흥유자 히비스커스 티,HOT,음료,False,
카페베네,우리흑임자 라떼,HOT,음료,False,
카페베네,우리흑임자 라떼,ICE,음료,False,
카페베네,제주녹차 라떼,HOT,음료,False,
카페베네,제주녹차 라떼,ICE,음료,False,
카페베네,초콜릿 라떼,HOT,음료,False,
카페베네,초콜릿 라떼,ICE,음료,False,
카페베네,고구마 라떼,HOT,음료,False,
카페베네,고구마 라떼,ICE,음료,False,
카페베네,콜드브루 프라페노,,음료,False,
카페베네,콜드브루 모카칩 프라페노,,음료,False,
카페베네,플레인 요거트 프라페노,,음료,False,
카페베네,딸기 요거트 프라페노,,음료,False,
카페베네,블루베리 요거트 프라페노,,음료,False,
카페베네,제주한라봉 요거트 프라페노,,음료,False,
카페베네,고흥유자 히비스커스 티,ICE,음료,False,
카페베네,얼그레이 밀크티 라떼,HOT,음료,False,
카페베네,얼그레이 밀크티 라떼,ICE,음료,False,
카페베네,복숭아 아이스 티(ICED ONLY),,음료,False,
카페베네,자몽 에이드,,음료,False,
카페베네,청포도 에이드,,음료,False,
카페베네,제주한라봉 젤라또 에이드(ICED ONLY),,음료,False,
