brand,name,name_en,temp,size,category,is_coffee,price
빽다방,에어폼 아메리카노(ICED),AIR FOAM AMERICANO,ICE,24oz,커피,True,
빽다방,더블에스프레소,double espresso,,,커피,True,
빽다방,디카페인 더블에스프레소,DECAF DOUBLE ESPRESSO,,,커피,True,
빽다방,아메리카노(HOT),AMERICANO,HOT,16oz,커피,True,
빽다방,아메리카노(ICED),AMERICANO,ICE,24oz,커피,True,
빽다방,디카페인 아메리카노(HOT),DECAF AMERICANO,HOT,16oz,커피,True,
빽다방,디카페인 아메리카노(ICED),DECAF AMERICANO,ICE,24oz,커피,True,
빽다방,레드불 꿀샷추(ICED),"RED BULL with HONEY, ESPRESSO",ICE,24oz,커피,True,
빽다방,원조커피(HOT),original mixed coffee,HOT,16oz,커피,True,
빽다방,원조커피(ICED),ORIGINAL MIXED COFFEE,ICE,24oz,커피,True,
빽다방,원조커피 제로슈거(HOT),ORIGINAL MIXED COFFEE - ZEROSUGAR,HOT,16oz,커피,True,
빽다방,원조커피 제로슈거(ICED),ORIGINAL MIXED COFFEE - ZEROSUGAR,ICE,24oz,커피,True,
빽다방,아이스티샷추가(아샷추),PEACH ICED TEA WITH ESPRESSO,,24oz,커피,True,
빽다방,아이스티샷 망고추가(아샷망추),"PEACH ICED TEA WITH SHOT, MANGO",,24oz,커피,True,
빽다방,디카페인 아이스티샷추가(아샷추),PEACH ICED TEA WITH DECAF ESPRESSO,,24oz,커피,True,
빽다방,디카페인 아이스티샷 망고추가(아샷망추),"PEACH ICED TEA WITH DECAF SHOT, MANGO",,24oz,커피,True,
빽다방,코코넛카페라떼(HOT),COCONUT CAFE LATTE,HOT,16oz,커피,True,
빽다방,코코넛카페라떼(ICED),,ICE,24oz,커피,True,
빽다방,코코넛커피스무디(ICED),COCONUT COFFEE SMOOTHIE,ICE,24oz,커피,True,
빽다방,코코넛콜드브루라떼(HOT),COCONUT COLD BREW LATTE,HOT,16oz,커피,True,
빽다방,코코넛콜드브루라떼(ICED),COCONUT COLD BREW LATTE,ICE,24oz,커피,True,
빽다방,코코넛콜드브루스무디(ICED),COCONUT COLD BREW SMOOTHIE,ICE,24oz,커피,True,
빽다방,디카페인 코코넛카페라떼(HOT),DECAF COCONUT CAFE LATTE,HOT,16oz,커피,True,
빽다방,디카페인 코코넛카페라떼(ICED),DECAF COCONUT CAFE LATTE,ICE,24oz,커피,True,
빽다방,디카페인 코코넛커피스무디,DECAF COCONUT COFFEE SMOOTHIE,,24oz,커피,True,
빽다방,디카페인 코코넛콜드브루라떼(HOT),DECAF COCONUT COLD BREW LATTE,HOT,16oz,커피,True,
빽다방,디카페인 코코넛콜드브루라떼(ICED),DECAF COCONUT COLD BREW LATTE,ICE,24oz,커피,True,
빽다방,디카페인 코코넛콜드브루스무디,DECAF COCONUT COLD BREW SMOOTHIE,,24oz,커피,True,
빽다방,꿀아메리카노(HOT),HONEY AMERICANO,HOT,16oz,커피,True,
빽다방,꿀아메리카노(ICED),HONEY AMERICANO,ICE,24oz,커피,True,
빽다방,디카페인 꿀 아메리카노(HOT),DECAF HONEY AMERICANO,HOT,16oz,커피,True,
