brand,name,name_en,temp,category,is_coffee,price
파스쿠찌,에소플 마끼아또,Macchiato Espresso Plate,,이탈리안커피,True,
파스쿠찌,에소플 콘파나,Con panna Espresso Plate,,이탈리안커피,True,
파스쿠찌,이탈리안 아포가또,Italian Affogato,,이탈리안커피,True,
파스쿠찌,에스프레소 솔로,Espresso Solo,,이탈리안커피,True,
파스쿠찌,에스프레소 마끼아또,Espresso Macchiato,,이탈리안커피,True,
파스쿠찌,바닐라빈 골든라떼,Vanilla BeanGolden latte,HOT,커피(HOT),True,
파스쿠찌,카페 헤이 오트,Caffe Hazelnut Oat,HOT,커피(HOT),True,
파스쿠찌,아메리카노,Americano,HOT,커피(HOT),True,
파스쿠찌,카페라떼,Caffe Latte,HOT,커피(HOT),True,
파스쿠찌,카라멜 라떼 마끼아또,Caramel LatteMacchiato,HOT,커피(HOT),True,
파스쿠찌,바닐라 라떼 마끼아또,Vanilla LatteMacchiato,HOT,커피(HOT),True,
파스쿠찌,카페 모카,Caffe Mocha,HOT,커피(HOT),True,
파스쿠찌,카푸치노(HOT ONLY),Cappuccino,HOT,커피(HOT),True,
파스쿠찌,피넛 젤라또 카페라떼,Peanut Gelato Caffe Latte,ICE,커피(ICED),True,
파스쿠찌,티라미수 젤라또 카페라떼,Tiramisu GelatoCaffe Latte,ICE,커피(ICED),True,
파스쿠찌,초콜릿 젤라또 카페라떼,Chocolate GelatoCaffe Latte,ICE,커피(ICED),True,
파스쿠찌,아이스 카페 헤이 오트,Iced Caffe Hazelnut Oat,ICE,커피(ICED),True,
파스쿠찌,아이스 아메리카노,Iced Americano,ICE,커피(ICED),True,
파스쿠찌,아이스 카페라떼,Iced Caffe Latte,ICE,커피(ICED),True,
파스쿠찌,아이스 카라멜 라떼마끼아또,Iced Caramel Latte Macchiato,ICE,커피(ICED),True,
파스쿠찌,아이스 카페 모카,Iced Caffe Mocha,ICE,커피(ICED),True,
파스쿠찌,아이스 바닐라 라떼마끼아또,Iced Vanilla Latte Macchiato,ICE,커피(ICED),True,
파스쿠찌,아이스 바닐라빈 골든라떼,Iced Vanilla Bean Golden latte,ICE,커피(ICED),True,
파스쿠찌,연유 콜드브루 플로트,Milky Cold Brew Float,,콜드브루,True,
파스쿠찌,콜드브루 아메리카노,Cold Brew Americano,,콜드브루,True,
파스쿠찌,콜드브루 라떼,Cold Brew Latte,,콜드브루,True,
파스쿠찌,콜드브루 원액,Cold Brew,,콜드브루,True,
파스쿠찌,포도 요거 크림티,Grape Yogurt Cream Tea,,시즌음료,False,
파스쿠찌,두바이st  딥초코 라떼,Dubai Style Deep Chocolate Latte,,시즌음료,False,
파스쿠찌,수정과 라떼,Cinnamon Ginger latte,,시즌음료,False,
파스쿠찌,아이스 수정과 라떼,Iced Cinnamon Ginger latte,ICE,시즌음료,False,
파스쿠찌,아이스 수정과,Iced Cinnamon Ginger Punch,ICE,시즌음료,False,
파스쿠찌,요거 딸기 그라니따,Yogurt Strawberry Granita,,시즌음료,False,
파스쿠찌,요거 딸기 라떼,Yogurt Strawberry Latte,,시즌음료,False,
파스쿠찌,딸기 주스,Strawberry Juice,,시즌음료,False,
파스쿠찌,딸기 라떼,Strawberry Latte,,시즌음료,False,
파스쿠찌,딸기 말차 쉐이크,Strawberry Matcha Shake,,시즌음료,False,
파스쿠찌,저당 말차 쉐이크,Low Sugar Matcha Shake,,시즌음료,False,
파스쿠찌,저당 말차 쉐이크 with 샷,Low Sugar Matcha Shake With shot,,시즌음료,False,
파스쿠찌,딸기 히비스커스,Strawberry Hibiscus,,시즌음료,False,
파스쿠찌,아이스 딸기 히비스커스,Iced Strawberry Hibiscus,ICE,시즌음료,False,
파스쿠찌,납작 복숭아 그라니따,Flat Peach Granita,,그라니따,False,
파스쿠찌,자바칩 초코 그라니따,Java Chip Chocolate Granita(Non-coffee),,그라니따,False,
파스쿠찌,블루베리 요거트 그라니따,Blueberry Yogurt Granita,,그라니따,False,
파스쿠찌,딸기 그라니따,Strawberry Granita,,그라니따,False,
파스쿠찌,코코넛 커피 그라니따,Coconut Coffee Granita,,그라니따,False,
파스쿠찌,플레인 요거트 그라니따,Plain Yogurt Granita,,그라니따,False,
파스쿠찌,스트로베리 요거트그라니따,Strawberry Yogurt Granita,,그라니따,False,
파스쿠찌,망고 요거트 그라니따,Mango Yogurt Granita,,그라니따,False,
파스쿠찌,시칠리아 레몬 그라니따,Sicilian Lemon Granita,,그라니따,False,
파스쿠찌,오렌지홍차,Orange Hills,,티,False,
파스쿠찌,아이스 오렌지홍차,Iced Orange Hills,ICE,티,False,
파스쿠찌,얼그레이,Earl Grey Tea,,티,False,
파스쿠찌,아이스 얼그레이,Iced Earl Grey Tea,ICE,티,False,
파스쿠찌,플로럴 캐모마일,Floral Chamomile,,티,False,
파스쿠찌,아이스 플로럴 캐모마일,Iced Floral Chamomile,ICE,티,False,
파스쿠찌,오렌지 루이보스,Orange Rooibos Tea,,티,False,
파스쿠찌,아이스 오렌지 루이보스,Iced Orange Rooibos Tea,ICE,티,False,
파스쿠찌,민트크루,Mint Melange,,티,False,
파스쿠찌,아이스 민트크루,Iced Mint Melange,ICE,티,False,
파스쿠찌,프루티 하동 녹차,Muscat Green Tea,,티,False,
파스쿠찌,아이스 프루티 하동 녹차,Iced Muscat Green Tea,ICE,티,False,
파스쿠찌,레몬 유자차,Lemon Citron Tea,,기타음료,False,
파스쿠찌,아이스 레몬유자차,Iced Lemon Citron Tea,ICE,기타음료,False,
파스쿠찌,히비스커스 뱅쇼,Hibiscus Vin Chaud(Non Alcohol),,기타음료,False,
파스쿠찌,아이스 히비스커스 뱅쇼,Iced HibiscusVin Chaud (Non Alcohol),ICE,기타음료,False,
파스쿠찌,오미자,Omija Tea,,기타음료,False,
파스쿠찌,아이스 오미자,Iced Omija Tea,ICE,기타음료,False,
파스쿠찌,제주 말차 라떼,Jeju Matcha Latte,,기타음료,False,
파스쿠찌,아이스 제주 말차 라떼,Iced Jeju Matcha Latte,ICE,기타음료,False,
파스쿠찌,K오곡 미숫가루 라떼,Five-grain Misutgaru Latte,,기타음료,False,
파스쿠찌,아이스 K오곡미숫가루 라떼,Iced Five-grain Misutgaru Latte,ICE,기타음료,False,
파스쿠찌,밀크티,Milk Tea,,기타음료,False,
파스쿠찌,아이스 밀크티,Iced Milk Tea,ICE,기타음료,False,
파스쿠찌,복숭아 아이스티,Peach Iced Tea,ICE,기타음료,False,
파스쿠찌,라즈베리 아이스티,Raspberry Iced Tea,ICE,기타음료,False,
파스쿠찌,자몽 주스,Grapefruit Juice,,기타음료,False,
파스쿠찌,아이스 자몽 주스,Iced Grapefruit Juice,ICE,기타음료,False,
파스쿠찌,초콜릿 라떼,Chocolate Latte,,기타음료,False,
파스쿠찌,아이스 초콜릿 라떼,Iced Chocolate Latte,ICE,기타음료,False,
파스쿠찌,레몬 스파클링,Lemon Sparkling,,기타음료,False,
파스쿠찌,자몽 스파클링,Grapefruit Sparkling,,기타음료,False,
파스쿠찌,청포도 스파클링,Green Grape Sparkling,,기타음료,False,
