brand,name,name_en,category,is_coffee,price
탐앤탐스,에스프레소 - 마끼아또,Espresso Macchiato,ESPRESSO,True,
탐앤탐스,에스프레소 - 콘파냐,Espresso Con Panna,ESPRESSO,True,
탐앤탐스,에스프레소,Espresso,ESPRESSO,True,
탐앤탐스,싱글오리진 콜롬비아,Colombia,SINGLE ORIGIN,True,
탐앤탐스,싱글오리진 디카페인,Decaf Coffee,SINGLE ORIGIN,True,
탐앤탐스,아이스 싱글오리진 디카페인,Iced Decaf Coffee,SINGLE ORIGIN,True,
탐앤탐스,아이스 싱글오리진 콜롬비아,Iced Colombia,SINGLE ORIGIN,True,
탐앤탐스,오트 디카페인 콜드브루,Oat Milk Decaf Cold Brew,COLDBREW,True,
탐앤탐스,디카페인 콜드브루 라떼,Decaf Cold Brew Latte,COLDBREW,True,
탐앤탐스,디카페인 콜드브루,Decaf Cold Brew Latte,COLDBREW,True,
탐앤탐스,오트 콜드브루,Oat Milk Cold Brew,COLDBREW,True,
탐앤탐스,핫 콜드브루 라떼,Hot Cold Brew Latte,COLDBREW,True,
탐앤탐스,콜드브루 라떼,Cold Brew Latte,COLDBREW,True,
탐앤탐스,콜드브루,Cold Brew,COLDBREW,True,
탐앤탐스,판단크림 코코넛 커피,Pandan Cream Coconut Coffee,AMERICANO & LATTE,True,
탐앤탐스,슈크림 슈페너,Choux Cream Einspanner,AMERICANO & LATTE,True,
탐앤탐스,코코넛 라떼,Coconut Latte,AMERICANO & LATTE,True,
탐앤탐스,코코넛 라떼,Coconut Latte,AMERICANO & LATTE,True,
탐앤탐스,아이스 아메리카노,Iced Americano,AMERICANO & LATTE,True,
탐앤탐스,아이스 카페라떼,Iced Café Latte,AMERICANO & LATTE,True,
탐앤탐스,아이스 카라멜 마끼아또,Iced Caramel Macchiatd,AMERICANO & LATTE,True,
탐앤탐스,아이스 헤이즐넛 라떼,Iced Hazelnut Latte,AMERICANO & LATTE,True,
탐앤탐스,아이스 바닐라 라떼,Iced Vanila Latte,AMERICANO & LATTE,True,
탐앤탐스,아이스 오리엔탈 라떼,Iced Oriental Latte,AMERICANO & LATTE,True,
탐앤탐스,아이스 카푸치노,Iced Cappuccino,AMERICANO & LATTE,True,
탐앤탐스,아이스 카페모카,Iced Café Mocha,AMERICANO & LATTE,True,
탐앤탐스,말차 라떼,Matcha Latte,LATTE & CHOCOLATE,True,
탐앤탐스,그린티 아이스크림,Green Tea Ice Cream,LATTE & CHOCOLATE,True,
탐앤탐스,말차 라떼,Matcha Latte,LATTE & CHOCOLATE,True,
탐앤탐스,딸기 슈크림 탐앤치노,Strawberry Choux Cream Tomnccino,LATTE & CHOCOLATE,True,
탐앤탐스,딸기 피치 에이드,Strawberry Peach Ade,LATTE & CHOCOLATE,True,
탐앤탐스,딸기 가득 라떼,Strawberry Latte,LATTE & CHOCOLATE,True,
탐앤탐스,판단 코코넛 라떼,Pandan Coconut Latte,LATTE & CHOCOLATE,True,
탐앤탐스,코코넛 밀크,Coconut Milk,LATTE & CHOCOLATE,True,
탐앤탐스,코코넛 밀크,Coconut Milk,LATTE & CHOCOLATE,True,
탐앤탐스,아이스 군고구마라떼,Iced Baked Sweet Potato Grain Latte,LATTE & CHOCOLATE,True,
탐앤탐스,아이스 제주 그린라떼,Iced Jeju Green Latte,LATTE & CHOCOLATE,True,
탐앤탐스,아이스 제주 허니 그린라떼,Iced Jeju Honey Green Latte,LATTE & CHOCOLATE,True,
탐앤탐스,청도홍시 시나몬주스,Ripe Persimmon Cinnamon Juice,TEA & ADE & JUICE,False,
탐앤탐스,청도홍시 주스,Ripe Persimmon Juice,TEA & ADE & JUICE,False,
탐앤탐스,쌍화차,Ssanghwa Tea,TEA & ADE & JUICE,False,
탐앤탐스,아이스 쌍화차,Ice Ssanghwa Tea,TEA & ADE & JUICE,False,
탐앤탐스,배생강차,Pear Ginger Tea,TEA & ADE & JUICE,False,
탐앤탐스,히비스커스 티,Hibiscus Tea,TEA & ADE & JUICE,False,
탐앤탐스,아이스 배생강차,Ice Pear Ginger Tea,TEA & ADE & JUICE,False,
탐앤탐스,아이스 히비스커스 티,Hibiscus Tea,TEA & ADE & JUICE,False,
탐앤탐스,핑크 레몬 히비스커스 티,Pink Lemon Hibiscus Tea,TEA & ADE & JUICE,False,
탐앤탐스,아이스 핑크 레몬 히비스커스 티,Pink Lemon Hibiscus Tea,TEA & ADE & JUICE,False,
탐앤탐스,허니 자몽 얼그레이 티,Honey Grapefruit Earl Grey Tea,TEA & ADE & JUICE,False,
탐앤탐스,아이스 허니 자몽 얼그레이 티,Honey Grapefruit Earl Grey Tea,TEA & ADE & JUICE,False,
탐앤탐스,판단 코코넛 커피스무디,Pandan Coconut Coffee Smoothie,TOMNCHINO & COFFEE,True,
탐앤탐스,바닐라 탐앤치노,Vanilla Tomnccino,TOMNCHINO & COFFEE,True,
탐앤탐스,말차 탐앤치노,Matcha Tomnccino,TOMNCHINO & NON COFFEE,False,
탐앤탐스,미숫크림 탐앤치노,Misut Cream TOMNCCINO,TOMNCHINO & NON COFFEE,False,
탐앤탐스,자바칩 탐앤치노,Java Chip Tomnccino,TOMNCHINO & NON COFFEE,False,
탐앤탐스,엑스트라 자바칩 탐앤치노,Extra Javachip Tomnccino,TOMNCHINO & NON COFFEE,False,
탐앤탐스,쿠키앤크림 탐앤치노,Cookie Cream Tomnccino,TOMNCHINO & NON COFFEE,False,
탐앤탐스,제주 그린티 초코칩 탐앤치노,Green Tea Chocochip Tomnccino,TOMNCHINO & NON COFFEE,False,
탐앤탐스,그린민트 초코 탐앤치노,Green Mint Chocolate Tomnccino,TOMNCHINO & NON COFFEE,False,
탐앤탐스,그린티 탐앤치노,Green Tea Tomnccino,TOMNCHINO & NON COFFEE,False,
탐앤탐스,멜론 스무디,Melon Smoothie,SMOOTHIE,False,
