brand,name,name_en,temp,size,category,is_coffee,price
이디야,(L) HOT 카페 아메리카노,(L) HOT Cafe Americano,HOT,L 520ml,COFFEE,True,
이디야,(EX) HOT 카페 아메리카노,(EX) HOT Cafe Americano,HOT,EX 650ml,COFFEE,True,
이디야,(L) ICED 카페 아메리카노,(L) ICED Cafe Americano,ICE,L 520ml,COFFEE,True,
이디야,(EX) ICED 카페 아메리카노,(EX) ICED Cafe Americano,ICE,EX 670ml,COFFEE,True,
이디야,(L) HOT 달달커피,(L) HOT Mixed coffee,HOT,L 520ml,COFFEE,True,
이디야,(EX) HOT 달달커피,(EX) HOT Mixed coffee,HOT,EX 650ml,COFFEE,True,
이디야,(L) HOT 제로슈가 달달커피,(L) HOT Zero sugar Mixed Coffee,HOT,L 520ml,COFFEE,True,
이디야,(EX) HOT 제로슈가 달달커피,(EX) HOT Zero sugar Mixed Coffee,HOT,EX 650ml,COFFEE,True,
이디야,(L) ICED 헤이즐넛 아메리카노,(L) ICED Hazelnut Americano,ICE,L 520ml,COFFEE,True,
이디야,(EX) ICED 헤이즐넛 아메리카노,(EX) ICED Hazelnut Americano,ICE,EX 670ml,COFFEE,True,
이디야,(L) HOT 헤이즐넛 아메리카노,(L) HOT Hazelnut Americano,HOT,L 520ml,COFFEE,True,
이디야,(EX) HOT 헤이즐넛 아메리카노,(EX) HOT Hazelnut Americano,HOT,EX 650ml,COFFEE,True,
이디야,(L) ICED 제로슈가 달달커피,(L) ICED Zero sugar Mixed Coffee,ICE,L 520ml,COFFEE,True,
이디야,(EX) ICED 제로슈가 달달커피,(EX) ICED Zero sugar Mixed Coffee,ICE,EX 670ml,COFFEE,True,
이디야,(L) 콜드브루,(L) Coldbrew,,L 520ml,COFFEE,True,
이디야,(EX) 콜드브루,(EX) Coldbrew,,EX 670ml,COFFEE,True,
이디야,(L) 콜드브루 라떼,(L) Coldbrew Latte,,L 520ml,COFFEE,True,
이디야,(EX) 콜드브루 라떼,(EX) Coldbrew Latte,,EX 670ml,COFFEE,True,
이디야,(L) 흑당 콜드브루,(L) Black Sugar Coldbrew,,L 520ml,COFFEE,True,
이디야,(EX) 흑당 콜드브루,(EX) Black Sugar Coldbrew,,EX 670ml,COFFEE,True,
이디야,(L) HOT 연유 카페 라떼,(L) HOT Condensed Milk Caffe latte,HOT,L 520ml,COFFEE,True,
이디야,(EX) HOT 연유 카페 라떼,(EX) HOT Condensed Milk Cafe latte,HOT,EX 650ml,COFFEE,True,
이디야,(L) ICED 연유 카페 라떼,(L) ICED Condensed Milk Cafe latte,ICE,L 520ml,COFFEE,True,
이디야,(EX) ICED 연유 카페 라떼,(EX) ICED Condensed Milk Cafe latte,ICE,EX 670ml,COFFEE,True,
이디야,(L) 연유 콜드브루,(L) Condensed Milk Coldbrew,,L 520ml,COFFEE,True,
이디야,(EX) 연유 콜드브루,(EX) Condensed Milk Coldbrew,,EX 670ml,COFFEE,True,
이디야,(L) ICED 달달커피,(L) ICED Mixed coffee,ICE,L 520ml,COFFEE,True,
이디야,(EX) ICED 달달커피,(EX) ICED Mixed coffee,ICE,EX 670ml,COFFEE,True,
이디야,(EX) HOT 카페 라떼,(EX) HOT Cafe Latte,HOT,EX 650ml,COFFEE,True,
이디야,(EX) ICED 카페 라떼,(EX) ICED Cafe Latte,ICE,EX 670ml,COFFEE,True,
이디야,(L) HOT 카푸치노,(L) HOT Cappuccino,HOT,L 520ml,COFFEE,True,
이디야,(EX) HOT 카푸치노,(EX) HOT Cappuccino,HOT,EX 650ml,COFFEE,True,
이디야,(L) ICED 카푸치노,(L) ICED Cappuccino,ICE,L 520ml,COFFEE,True,
이디야,(EX) ICED 카푸치노,(EX) ICED Cappuccino,ICE,EX 670ml,COFFEE,True,
이디야,(L) HOT 카페 모카,(L)  HOT Cafe Mocha,HOT,L 520ml,COFFEE,True,
이디야,(EX) HOT 카페 모카,(EX)  HOT Cafe Mocha,HOT,EX 650ml,COFFEE,True,
이디야,(L) ICED 카페 모카,(L) ICED Cafe Mocha,ICE,L 520ml,COFFEE,True,
이디야,(EX) ICED 카페 모카,(EX) ICED Café Mocha,ICE,EX 670ml,COFFEE,True,
이디야,(L) HOT 카라멜 마끼아또,(L) HOT Caramel  Macchiato,HOT,L 520ml,COFFEE,True,
이디야,(EX) HOT 카라멜 마끼아또,(EX) HOT Caramel  Macchiato,HOT,EX 650ml,COFFEE,True,
이디야,(L) ICED 카라멜 마끼아또,(L) ICED Caramel Macchiato,ICE,L 520ml,COFFEE,True,
이디야,(EX) ICED 카라멜 마끼아또,(EX) ICED Caramel  Macchiato,ICE,EX 670ml,COFFEE,True,
이디야,(L) HOT 바닐라 라떼,(L) HOT Vanilla Latte,HOT,L 520ml,COFFEE,True,
이디야,(EX) HOT 바닐라 라떼,(EX) HOT Vanilla Latte,HOT,EX 650ml,COFFEE,True,
이디야,(L) ICED 바닐라 라떼,(L) ICED Vanilla Latte,ICE,L 520ml,COFFEE,True,
이디야,(EX) ICED 바닐라 라떼,(EX) ICED Vanilla Latte,ICE,EX 670ml,COFFEE,True,
이디야,(L) ICED 넛츠 크림 라떼,(L) ICED Nuts Cream Latte,ICE,L 520ml,COFFEE,True,
이디야,(EX) ICED 넛츠 크림 라떼,(EX) ICED Nuts Cream Latte,ICE,EX 670ml,COFFEE,True,
이디야,(L) HOT 화이트 초콜릿 모카,(L) HOT White Chocolate Mocha,HOT,L 520ml,COFFEE,True,
이디야,(EX) HOT 화이트 초콜릿 모카,(EX) HOT White Chocolate Mocha,HOT,EX 650ml,COFFEE,True,
이디야,(L) ICED 화이트 초콜릿 모카,(L) ICED White Chocolate Mocha,ICE,L 520ml,COFFEE,True,
이디야,(EX) ICED 화이트 초콜릿 모카,(EX) ICED White Chocolate Mocha,ICE,EX 670ml,COFFEE,True,
이디야,(L) HOT 민트 모카,(L) HOT Mint Mocha,HOT,L 520ml,COFFEE,True,
이디야,(EX) HOT 민트 모카,(EX) HOT Mint Mocha,HOT,EX 650ml,COFFEE,True,
이디야,(L) ICED 민트 모카,(L) ICED Mint Mocha,ICE,L 520ml,COFFEE,True,
이디야,(EX) ICED 민트 모카,(EX) ICED Mint Mocha,ICE,EX 670ml,COFFEE,True,
이디야,(L) HOT 시그니처 라떼,(L) HOT Signature Latte,HOT,L 520ml,COFFEE,True,
이디야,(EX) HOT 시그니처 라떼,(EX) HOT Signature Latte,HOT,EX 650ml,COFFEE,True,
이디야,(L) ICED 시그니처 라떼,(L) ICED Signature Latte,ICE,L 520ml,COFFEE,True,
이디야,(EX) ICED 시그니처 라떼,(EX) ICED Signature Latte,ICE,EX 670ml,COFFEE,True,
이디야,(L) HOT 카페 라떼,(L) HOT Cafe Latte,HOT,L 520ml,COFFEE,True,
이디야,(L) ICED 카페 라떼,(L) ICED Cafe Latte,ICE,L 520ml,COFFEE,True,
이디야,(L) ICED 꿀화이트 아메리카노,(L) ICED HoneyWhite Americano,ICE,L 520ml,COFFEE,True,
이디야,(EX) ICED 꿀화이트 아메리카노,(EX) ICED HoneyWhite Americano,ICE,EX 670ml,COFFEE,True,
이디야,HOT 에스프레소,Espresso,HOT,,COFFEE,True,
이디야,아포가토 오리지널,Affogato original,,,COFFEE,True,
이디야,(L) ICED 거문도쑥 라떼,(L) ICED Geomundo Mugwort Latte,ICE,L 520ml,BEVERAGE,False,
이디야,(EX) ICED 거문도쑥 라떼,(EX) ICED Geomundo Mugwort Latte,ICE,EX 670ml,BEVERAGE,False,
이디야,(L) HOT 거문도쑥 라떼,(L) HOT Geomundo Mugwort Latte,HOT,L 520ml,BEVERAGE,False,
이디야,(EX) HOT 거문도쑥 라떼,(EX) HOT Geomundo Mugwort Latte,HOT,EX 650ml,BEVERAGE,False,
이디야,(L) 딸기자두 요구르트(ICED ONLY),(L) Strawberry Plum Yogurt(ICED ONLY),ICE,L 520ml,BEVERAGE,False,
이디야,(EX) 딸기자두 요구르트(ICED ONLY),(EX) Strawberry Plum Yogurt(ICED ONLY),ICE,EX 670ml,BEVERAGE,False,
이디야,(L) 치즈폼 딸기라떼(ICED ONLY),(L) Cheese Foam Strawberry Latte(ICED ONLY),ICE,L 520ml,BEVERAGE,False,
이디야,(EX) 치즈폼 딸기라떼(ICED ONLY),(EX) Cheese Foam Strawberry Latte(ICED ONLY),ICE,EX 670ml,BEVERAGE,False,
이디야,(L) 생과일 제주감귤주스,(L) Jeju Tengerine Juice,,L 520ml,BEVERAGE,False,
이디야,(EX) 생과일 제주감귤주스,(EX) Jeju Tengerine Juice,,EX 670ml,BEVERAGE,False,
이디야,(L) HOT 말차라떼,(L) HOT Matcha Latte,HOT,L 520ml,BEVERAGE,False,
이디야,(EX) HOT 말차라떼,(EX) HOT Matcha Latte,HOT,EX 650ml,BEVERAGE,False,
이디야,(L) ICED 말차라떼,(L) ICED Matcha Latte,ICE,L 520ml,BEVERAGE,False,
이디야,(EX) ICED 말차라떼,(EX) ICED Matcha Latte,ICE,EX 670ml,BEVERAGE,False,
이디야,(EX) HOT 민트 초콜릿,(EX) HOT Mint Chocolate,HOT,EX 650ml,BEVERAGE,False,
이디야,(EX) ICED 민트 초콜릿,(EX) ICED Mint Chocolate,ICE,EX 670ml,BEVERAGE,False,
이디야,(L) ICED 말차초코라떼,(L) ICED Matcha Chocolate Latte,ICE,L 520ml,BEVERAGE,False,
이디야,(EX) ICED 말차초코라떼,(EX) ICED Matcha Chocolate Latte,ICE,EX 670ml,BEVERAGE,False,
이디야,(L) ICED 딸기 초코 라떼,(L) ICED Strawberry Chocolate Latte,ICE,L 520ml,BEVERAGE,False,
이디야,(EX) ICED 딸기 초코 라떼,(EX) ICED Strawberry Chocolate Latte,ICE,EX 670ml,BEVERAGE,False,
이디야,(L) HOT 고구마 라떼,(L) HOT Sweet Potato Latte,HOT,L 520ml,BEVERAGE,False,
이디야,(EX) HOT 고구마 라떼,(EX) HOT Sweet Potato Latte,HOT,EX 650ml,BEVERAGE,False,
이디야,(L) ICED 고구마 라떼,(L) ICED Sweet Potato Latte,ICE,L 520ml,BEVERAGE,False,
이디야,(EX) ICED 고구마 라떼,(EX) ICED Sweet Potato Latte,ICE,EX 670ml,BEVERAGE,False,
이디야,(L) 딸기주스,(L) Strawberry Juice,,L 520ml,BEVERAGE,False,
이디야,(EX) 딸기주스,(EX) Strawberry Juice,,EX 670ml,BEVERAGE,False,
이디야,(L) 망고주스,(L) Mango Juice,,L 520ml,BEVERAGE,False,
이디야,(EX) 망고주스,(EX) Mango Juice,,EX 670ml,BEVERAGE,False,
이디야,(L) 블루베리주스,(L) Blueberry Juice,,L 520ml,BEVERAGE,False,
이디야,(EX) 블루베리주스,(EX) Blueberry Juice,,EX 670ml,BEVERAGE,False,
이디야,(L) 딸기바나나주스,(L) Strawberry&Banana Juice,,L 520ml,BEVERAGE,False,
이디야,(EX) 딸기바나나주스,(EX) Strawberry&Banana Juice,,EX 670ml,BEVERAGE,False,
이디야,(L) 망고바나나주스,(L) Mango&Banana Juice,,L 520ml,BEVERAGE,False,
이디야,(EX) 망고바나나주스,(EX) Mango&Banana Juice,,EX 670ml,BEVERAGE,False,
이디야,(L) 블루베리바나나주스,(L) BLueberry&Banana Juice,,L 520ml,BEVERAGE,False,
이디야,(EX) 블루베리바나나주스,(EX) BLueberry&Banana Juice,,EX 670ml,BEVERAGE,False,
이디야,(L) 사과당근클렌즈주스,(L) Apple&Carrot Cleanse Juice,,L 520ml,BEVERAGE,False,
이디야,(EX) 사과당근클렌즈주스,(EX) Apple&Carrot Cleanse Juice,,EX 670ml,BEVERAGE,False,
이디야,(L) 키위케일샐러리클렌즈주스,(L) Kiwi&Kale&Celery Cleanse Juice,,L 520ml,BEVERAGE,False,
이디야,(EX) 키위케일샐러리클렌즈주스,(EX) Kiwi&Kale&Celery Cleanse Juice,,EX 670ml,BEVERAGE,False,
이디야,(L) HOT 토피넛 라떼,(L) HOT Toffee Nut Latte,HOT,L 520ml,BEVERAGE,False,
이디야,(EX) HOT 토피넛 라떼,(EX) HOT Toffee Nut Latte,HOT,EX 650ml,BEVERAGE,False,
이디야,(L) ICED 토피넛 라떼,(L) ICED Toffee Nut Latte,ICE,L 520ml,BEVERAGE,False,
이디야,(EX) ICED 토피넛 라떼,(EX) ICED Toffee Nut Latte,ICE,EX 670ml,BEVERAGE,False,
이디야,(L) ICED 흑당 라떼,(L) ICED Black Sugar Latte,ICE,L 520ml,BEVERAGE,False,
이디야,(EX) ICED 흑당 라떼,(EX) ICED Black Sugar Latte,ICE,EX 670ml,BEVERAGE,False,
이디야,(L) ICED 버블 흑당 라떼,(L) ICED Bubble Black Sugar Latte,ICE,L 520ml,BEVERAGE,False,
이디야,(EX) ICED 버블 흑당 라떼,(EX) ICED Bubble Black Sugar Latte,ICE,EX 670ml,BEVERAGE,False,
이디야,(L) 딸기 듬뿍 라떼,(L) Strawberry Latte,,L 520ml,BEVERAGE,False,
이디야,(EX) 딸기 듬뿍 라떼,(EX) Strawberry Latte,,EX 670ml,BEVERAGE,False,
이디야,(L) HOT 초콜릿,(L) HOT Chocolate,HOT,L 520ml,BEVERAGE,False,
이디야,(L) ICED 초콜릿,(L) ICED Chocolate,ICE,L 520ml,BEVERAGE,False,
이디야,(EX) HOT 초콜릿,(EX) HOT Chocolate,HOT,EX 650ml,BEVERAGE,False,
이디야,(EX) ICED 초콜릿,(EX) ICED Chocolate,ICE,EX 670ml,BEVERAGE,False,
이디야,(L) HOT 민트 초콜릿,(L) HOT Mint Chocolate,HOT,L 520ml,BEVERAGE,False,
이디야,(L) ICED 민트 초콜릿,(L) ICED Mint Chocolate,ICE,L 520ml,BEVERAGE,False,
이디야,(L) HOT 미숫가루 라떼,(L) HOT Mixed Grain Latte,HOT,L 520ml,BEVERAGE,False,
이디야,(EX) HOT 미숫가루 라떼,(EX) HOT Mixed Grain Latte,HOT,EX 650ml,BEVERAGE,False,
이디야,(L) ICED 미숫가루 라떼,(L) ICED Mixed Grain Latte,ICE,L 520ml,BEVERAGE,False,
이디야,(EX) ICED 미숫가루 라떼,(EX) ICED Mixed Grain Latte,ICE,EX 670ml,BEVERAGE,False,
이디야,(L) ICED 달고나 라떼,(L) ICED Dalgona Latte,ICE,L 520ml,BEVERAGE,False,
이디야,(EX) ICED 달고나 라떼,(EX) ICED Dalgona Latte,ICE,EX 670ml,BEVERAGE,False,
이디야,(L) HOT 화이트 초콜릿,(L) HOT White Chocolate,HOT,L 520ml,BEVERAGE,False,
이디야,(L) ICED 화이트 초콜릿,(L) ICED White Chocolate,ICE,L 520ml,BEVERAGE,False,
이디야,(EX) HOT 화이트 초콜릿,(EX) HOT White Chocolate,HOT,EX 650ml,BEVERAGE,False,
이디야,(EX) ICED 화이트 초콜릿,(EX) ICED White Chocolate,ICE,EX 670ml,BEVERAGE,False,
이디야,(L) ICED 저당 하동매실 그린티,(L) ICED Low Sugar Hadong Maesil Green Tea,ICE,L 520ml,BLENDING TEA,False,
이디야,(EX) ICED 저당 하동매실 그린티,(EX) ICED Low Sugar Hadong Maesil Green Tea,ICE,EX 670ml,BLENDING TEA,False,
이디야,(L) HOT 저당 하동매실 그린티,(L) HOT Low Sugar Hadong Maesil Green Tea,HOT,L 520ml,BLENDING TEA,False,
이디야,(EX) HOT 저당 하동매실 그린티,(EX) HOT Low Sugar Hadong Maesil Green Tea,HOT,EX 650ml,BLENDING TEA,False,
이디야,(L) HOT 자몽차,(L) HOT Grapefruit Tea,HOT,L 520ml,BLENDING TEA,False,
이디야,(EX) HOT 자몽차,(EX) HOT Grapefruit Tea,HOT,EX 650ml,BLENDING TEA,False,
이디야,(L) ICED 자몽차,(L) ICED Grapefruit Tea,ICE,L 520ml,BLENDING TEA,False,
이디야,(EX) ICED 자몽차,(EX) ICED Grapefruit Tea,ICE,EX 670ml,BLENDING TEA,False,
이디야,(L) HOT 딸기감귤티,(L) HOT Strawberry Tangerine Tea,HOT,L 520ml,BLENDING TEA,False,
이디야,(EX) HOT 딸기감귤티,(EX) HOT Strawberry Tangerine Tea,HOT,EX 650ml,BLENDING TEA,False,
이디야,(L) ICED 딸기감귤티,(L) ICED Strawberry Tangerine Tea,ICE,L 520ml,BLENDING TEA,False,
이디야,(EX) ICED 딸기감귤티,(EX) ICED Strawberry Tangerine Tea,ICE,EX 670ml,BLENDING TEA,False,
이디야,(L) HOT 유자차,(L) HOT Citron Tea,HOT,L 520ml,BLENDING TEA,False,
이디야,(EX) HOT 유자차,(EX) HOT Citron Tea,HOT,EX 650ml,BLENDING TEA,False,
이디야,(L) ICED 유자차,(L) ICED Citron Tea,ICE,L 520ml,BLENDING TEA,False,
이디야,(EX) ICED 유자차,(EX) ICED Citron Tea,ICE,EX 670ml,BLENDING TEA,False,
이디야,(L) HOT 레몬차,(L) HOT Lemon Tea,HOT,L 520ml,BLENDING TEA,False,
이디야,(EX) HOT 레몬차,(EX) HOT Lemon Tea,HOT,EX 650ml,BLENDING TEA,False,
이디야,(L) ICED 레몬차,(L) ICED Lemon Tea,ICE,L 520ml,BLENDING TEA,False,
이디야,(EX) ICED 레몬차,(EX) ICED Lemon Tea,ICE,EX 670ml,BLENDING TEA,False,
이디야,(L) HOT 배모과차,(L) HOT Pear&Quince Tea,HOT,L 520ml,BLENDING TEA,False,
이디야,(EX) HOT 배모과차,(EX) HOT Pear&Quince Tea,HOT,EX 650ml,BLENDING TEA,False,
이디야,(L) ICED 배모과차,(L) ICED Pear&Quince Tea,ICE,L 520ml,BLENDING TEA,False,
이디야,(EX) ICED 배모과차,(EX) ICED Pear&Quince Tea,ICE,EX 670ml,BLENDING TEA,False,
이디야,(L) HOT 생강차,(L) HOT Ginger Tea,HOT,L 520ml,BLENDING TEA,False,
이디야,(EX) HOT 생강차,(EX) HOT Ginger Tea,HOT,EX 650ml,BLENDING TEA,False,
이디야,(L) ICED 생강차,(L) ICED Ginger Tea,ICE,L 520ml,BLENDING TEA,False,
이디야,(EX) ICED 생강차,(EX) ICED Ginger Tea,ICE,EX 670ml,BLENDING TEA,False,
이디야,(L) HOT 로열 밀크티,(L) HOT Royal Milk Tea,HOT,L 520ml,BLENDING TEA,False,
이디야,(EX) HOT 로열 밀크티,(EX) HOT Royal Milk Tea,HOT,EX 650ml,BLENDING TEA,False,
이디야,(L) ICED 로열 밀크티,(L) ICED Royal Milk Tea,ICE,L 520ml,BLENDING TEA,False,
이디야,(EX) ICED 로열 밀크티,(EX) ICED Royal Milk Tea,ICE,EX 670ml,BLENDING TEA,False,
이디야,(L) ICED 복분자 뱅쇼,(L) ICED Bokbunja Vin Chaud,ICE,L 520ml,BLENDING TEA,False,
