brand,name,name_en,temp,size,category,is_coffee,price
매머드커피,매머드 커피,Mammoth Iced Americano,ICE,ICE(32oz),32oz,True,
매머드커피,아이스티,Peach Iced Tea,ICE,ICE(32oz),32oz,True,
매머드커피,아샷추 아이스티,Peach Iced Tea(add shot),ICE,ICE(32oz),32oz,True,
매머드커피,스노우 매머드 커피,Snow Mammoth Iced Americano,ICE,ICE(32oz),32oz,True,
매머드커피,허니베리 홍초 에이드,Honey Berry Red Vinegar Ade,ICE,ICE(32oz),32oz,True,
매머드커피,패션 오렌지 아이스티,Passion Orange Iced Tea,ICE,ICE(32oz),32oz,True,
매머드커피,디카페인 매머드 커피,Decaf Mammoth Iced Americano,ICE,ICE(32oz),32oz,True,
매머드커피,디카페인 아샷추 아이스티,Decaf Peach Iced Tea(add shot),ICE,ICE(32oz),32oz,True,
매머드커피,디카페인 스노우 매머드 커피,Decaf Snow Mammoth Iced Americano,ICE,ICE(32oz),32oz,True,
매머드커피,아메리카노,Americano,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,꿀 커피,Honey Americano,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,아몬드 아메리카노,Almond Americano,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,아샷추 아이스티,Peach Iced Tea(add shot),ICE,ICE(20oz),커피,True,
매머드커피,카페 라떼,Cafe Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,카푸치노,Cappuccino,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,꿀 라떼,Honey Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,아몬드 라떼,Almond Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,바닐라 라떼,Vanilla Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,꿀바나 라떼,Honey Banana Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,카라멜 마키아토,Caramel Macchiato,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,카페 모카,Cafe Mocha,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,티라미수 라떼,Tiramisu Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,헤이즐넛 커피,Hazelnut Coffee,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,코코넛 사이공 라떼,Coconut Sigon Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,헤이즐넛 모카,Hazelnut Mocha,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,돌체 라떼,Dolce Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,달고나 카페라떼,Dalgona Cafe Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,믹스 커피,Mixed Coffee,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 아메리카노,Decaf Americano,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 꿀 커피,Decaf Honey Americano,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 아몬드 아메리카노,Decaf Almond Americano,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 꿀 라떼,Decaf Honey Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 카푸치노,Decaf Cappuccino,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 카페 라떼,Decaf Cafe Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 아몬드 라떼,Decaf Almond Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 바닐라 라떼,Decaf Vanilla Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 카라멜 마키아토,Decaf Caramel Macchiato,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 카페 모카,Decaf Cafe Mocha,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 티라미수 라떼,Decaf Tiramisu Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 꿀바나 라떼,Decaf Honey Banana Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 헤이즐넛 커피,Decaf Hazelnut Coffee,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 코코넛 사이공 라떼,Decaf Coconut Sigon Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 헤이즐넛 모카,Decaf Hazelnut Mocha,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 돌체 라떼,Decaf Dolce Latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 달고나 카페라떼,Decaf Dalgona caffe latte,HOT/ICE,HOT(16oz)/ICE(20oz),커피,True,
매머드커피,디카페인 아샷추 아이스티,Decaf Peach Iced Tea(add shot),ICE,ICE(20oz),커피,True,
매머드커피,콜드브루,Cold Brew,HOT/ICE,HOT(16oz)/ICE(20oz),콜드브루,True,
매머드커피,콜드브루 라떼,Cold Brew Latte,ICE,ICE(20oz),콜드브루,True,
매머드커피,돌체 콜드브루 라떼,Dolce Cold Brew Latte,ICE,ICE(20oz),콜드브루,True,
매머드커피,아몬드 크림 콜드브루,Almond Cream Cold Brew,ICE,ICE(20oz),콜드브루,True,
